reference_hotel_id,reference_room_id,reference_room_name,reference_processed_name,supplier_room_id,supplier_room_name,supplier_processed_name,text_similarity
13801035,1143346846,"Family Room, 1 King Bed",family room 1 king bed,314066177,"Family Room, 1 King Bed",family room 1 king bed,1.0
13476761,1142189988,Classic Room,classic room,315661503,Classic Room,classic room,1.0
13656727,1142650092,"Double Room, Shared Bathroom",double room shared bathroom,201147089,Double Room with Shared Bathroom,double room shared bathroom,1.0
13534418,1141957014,Basic Cottage,basic cottage,321439169,Basic Cottage,basic cottage,1.0
13678073,1142906303,"Deluxe Room, 2 Twin Beds",deluxe room 2 twin bed,201396935,"Deluxe Room, 2 Twin Beds",deluxe room 2 twin bed,1.0
13946624,1143636203,"Standard Room, City View",standard room city view,218779182,"Standard Room, City View",standard room city view,1.0
13435330,1142426438,"Standard Double Room, 1 Double Bed",standard double room 1 double bed,218445796,"Standard Double Room, 1 Double Bed",standard double room 1 double bed,1.0
314920,31492001,Economy Double Room,economy double room,156519,Economy Double Room,economy double room,1.0
13695892,1142121063,"Deluxe Room, Terrace",deluxe room terrace,213616884,"Deluxe Room, Terrace",deluxe room terrace,1.0
7402929,740292906,Deluxe Double Room with Balcony,deluxe double room balcony,201272857,"Deluxe Double Room, Balcony",deluxe double room balcony,1.0
9742336,974233605,Standard Villa,standard villa,320997979,Standard Villa,standard villa,1.0
13636382,1142889441,"Deluxe Room, 1 King Bed, View",deluxe room 1 king bed view,201368923,"Deluxe Room, 1 King Bed, View",deluxe room 1 king bed view,1.0
703998,70399804,Single Room with Shared Bathroom,single room shared bathroom,201778267,"Single Room, Shared Bathroom",single room shared bathroom,1.0
13831558,1143429065,Comfort Single Room,comfort single room,339885,Comfort Single Room,comfort single room,1.0
1947442,194744207,Deluxe King Suite,deluxe king suite,200283864,Deluxe King Suite,deluxe king suite,1.0
13496868,1142466831,"Premium Triple Room, Balcony",premium triple room balcony,201364456,"Premium Triple Room, Balcony",premium triple room balcony,1.0
