reference_hotel_id,reference_room_id,reference_room_name,reference_processed_name,supplier_room_id,supplier_room_name,supplier_processed_name,text_similarity
13431761,1142150973,"Superior Room, Mountain View",superior room mountain view,201006793,"Superior Room, Mountain View",superior room mountain view,1.0
13619916,1142062343,Grand Deluxe Room,grand deluxe room,230760088,Grand Deluxe Room,grand deluxe room,1.0
13645586,1142629660,"Room, 2 Queen Beds, Accessible, Bathtub",room 2 queen bed accessible bathtub,201030617,"Room, 2 Queen Beds, Accessible, Bathtub",room 2 queen bed accessible bathtub,1.0
13522822,1141957257,Honeymoon Suite,honeymoon suite,201155941,Honeymoon Suite,honeymoon suite,1.0
13485910,1142197380,Comfort Room,comfort room,218444778,Comfort Room,comfort room,1.0
13593016,1142846674,"Deluxe Room, Terrace",deluxe room terrace,201406528,"Deluxe Room, Terrace",deluxe room terrace,1.0
2988779,298877908,Standard Double Room - Accessible,standard double room accessible,219009111,"Standard Double Room, Accessible",standard double room accessible,1.0
13553533,1142516508,"Twin Room, River View",twin room river view,200935655,"Twin Room, River View",twin room river view,1.0
13649920,1142623024,Standard Single Room,standard single room,200931818,Standard Single Room,standard single room,1.0
13500014,1142755299,Presidential Room,presidential room,201159294,Presidential Room,presidential room,1.0
13807392,1143368348,"Superior Apartment, 1 Bedroom, Kitchen",superior apartment 1 bedroom kitchen,201183275,"Superior Apartment, 1 Bedroom, Kitchen",superior apartment 1 bedroom kitchen,1.0
13447262,1142165181,Deluxe Double or Twin Room,deluxe double twin room,201014262,Deluxe Double or Twin Room,deluxe double twin room,1.0
13846226,1143469509,House (6 Bedrooms),house 6 bedroom,201249490,"House, 6 Bedrooms",house 6 bedroom,1.0
13680343,1142637893,"Standard Suite, 1 King Bed, Non Smoking",standard suite 1 king bed non smoking,212113466,"Standard Suite, 1 King Bed, Non Smoking",standard suite 1 king bed non smoking,1.0
13906659,1143555599,"Room, 2 Bedrooms",room 2 bedroom,216911013,"Room, 2 Bedrooms",room 2 bedroom,1.0
1266059,1143146781,Large Two-Bedroom Apartment,large twobedroom apartment,201422137,Large Two-Bedroom Apartment,large twobedroom apartment,1.0
13567082,1142550293,"Standard Triple Room, 3 Twin Beds",standard triple room 3 twin bed,321269349,"Standard Triple Room, 3 Twin Beds",standard triple room 3 twin bed,1.0
13432004,1141880449,"Single Room, Shared Bathroom",single room shared bathroom,200936546,"Single Room, Shared Bathroom",single room shared bathroom,1.0
13681554,1142912582,Deluxe Chalet,deluxe chalet,201051090,Deluxe Chalet,deluxe chalet,1.0
13461146,1142720192,"Suite, 3 Bedrooms, 2 Bathrooms",suite 3 bedroom 2 bathrooms,200974766,"Suite, 3 Bedrooms, 2 Bathrooms",suite 3 bedroom 2 bathrooms,1.0
13418544,1141848000,"Suite, 1 King Bed with Sofa bed, Non Smoking",suite 1 king bed sofa bed non smoking,201035785,"Suite, 1 King Bed with Sofa bed, Non Smoking",suite 1 king bed sofa bed non smoking,1.0
13474292,1142730936,"Standard Studio, Partial Sea View",standard studio partial sea view,201113130,"Standard Studio, Partial Sea View",standard studio partial sea view,1.0
13822434,1143393168,Panoramic Studio Suite,panoramic studio suite,218156691,Panoramic Studio Suite,panoramic studio suite,1.0
13853715,1143490483,House (1 Bedroom),house 1 bedroom,200988637,"House, 1 Bedroom",house 1 bedroom,1.0
1986232,198623202,Premium Suite,premium suite,201235864,Premium Suite,premium suite,1.0
8521081,852108107,Double Room with Park View,double room park view,200898123,"Double Room, Park View",double room park view,1.0
5745504,574550402,Apartment with Pool View ,apartment pool view,201723314,"Apartment, Pool View",apartment pool view,1.0
13702605,1142126356,VIP Room,vip room,201155404,VIP Room,vip room,1.0
13593035,1142029947,Double Room (Patio),double room patio,201331940,Double Room with Patio,double room patio,1.0
13425074,1142691603,Double Room Single Use,double room single use,201041628,Double Room Single Use,double room single use,1.0
13560679,1142539174,"Single Room, 1 Double Bed",single room 1 double bed,200906564,"Single Room, 1 Double Bed",single room 1 double bed,1.0
13698989,1142666518,"Studio, Pool View",studio pool view,201718196,"Studio, Pool View",studio pool view,1.0
13661410,1142365374,Deluxe Triple Room,deluxe triple room,201439622,Deluxe Triple Room,deluxe triple room,1.0
13645421,1142076786,"Junior Suite, Jetted Tub, City View",junior suite jetted tub city view,201021470,"Junior Suite, Jetted Tub, City View",junior suite jetted tub city view,1.0
13521182,1141953815,"Standard Studio, 1 King Bed",standard studio 1 king bed,201482731,"Standard Studio, 1 King Bed",standard studio 1 king bed,1.0
13928915,1143605750,Villa (3 Bedrooms),villa 3 bedroom,200976401,"Villa, 3 Bedrooms",villa 3 bedroom,1.0
13802448,1143354267,"Chalet, 4 Bedrooms",chalet 4 bedroom,218108123,"Chalet, 4 Bedrooms",chalet 4 bedroom,1.0
13663343,1142639940,"Deluxe Double Room, 1 King Bed, Sea View",deluxe double room 1 king bed sea view,200990628,"Deluxe Double Room, 1 King Bed, Sea View",deluxe double room 1 king bed sea view,1.0
13889496,1143519203,"Basic Apartment, 1 Double Bed",basic apartment 1 double bed,201233612,"Basic Apartment, 1 Double Bed",basic apartment 1 double bed,1.0
13946695,1143636504,Master Suite,master suite,200796020,Master Suite,master suite,1.0
316929,31692907,Beach Front Pool Villa,beach front pool villa,321507855,Beach Front Pool Villa,beach front pool villa,1.0
13552330,1142539896,"Standard Triple Room, Balcony",standard triple room balcony,200976153,"Standard Triple Room, Balcony",standard triple room balcony,1.0
13540322,1141974510,"Double or Twin Room, Balcony",double twin room balcony,201346848,"Double or Twin Room, Balcony",double twin room balcony,1.0
13486922,1142196094,"Comfort Double Room, Terrace",comfort double room terrace,201338080,"Comfort Double Room, Terrace",comfort double room terrace,1.0
13480679,1142194357,"Superior Suite, 1 King Bed",superior suite 1 king bed,221436749,"Superior Suite, 1 King Bed",superior suite 1 king bed,1.0
